name,address,categories,rating,latitude,longitude
Pub Hopotus,Kuninkaankartanonkatu 8,Restaurants,0.0,60.4394493,22.2590599
Martinmäen kotiruokapalvelu Avoin,Tiilentekijänkatu 10J,Restaurants,0.0,60.4396286,22.2536926
Naantalin Aurinkoinen,Martinkatu 3,Restaurants,0.0,60.4431305,22.2568398
Melange,Martinkatu 3,Restaurants,0.0,60.4431305,22.2568398
Maku Turku,Stålarminkatu 5,Pan Asian,2.5,60.4393327654178,22.2599692499882
Ravintola Pippurimylly,Stålarminkatu 2,Steakhouses,4.7,60.4390396536043,22.2593031967942
designed by oodi pr,Tiilentekijänkatu 3B A,Restaurants,0.0,60.4404411,22.2517891
Haarala Tiina,Itäinen Rantakatu 48H 242,Restaurants,0.0,60.442749,22.2545109
Ravintola-Pizzeria Ranta-Osku avoin,Martinkatu 1,Restaurants,0.0,60.4435806,22.2561607
T:mi Maryam-M,Martinkatu 1,Restaurants,0.0,60.4435806,22.2561607
